id	file
breast_normal_37	TCGA-BRCA.c1636423-5fa8-4d4c-bba1-b9dd369e3830.gene_level_copy_number.tsv
breast_normal_38	TCGA-BRCA.d814b694-f289-4784-bf97-2d21aef93e18.gene_level_copy_number.tsv
breast_normal_39	TCGA-BRCA.6eee21c1-5bc4-4eb7-bf40-151fc831d5b9.gene_level_copy_number.tsv
breast_normal_40	TCGA-BRCA.94a07da0-f029-444a-86d7-d9bc24e7e76d.gene_level_copy_number.tsv
breast_normal_41	TCGA-BRCA.ed5f14b2-ffc0-4eb6-bbb0-576c2c102128.gene_level_copy_number.tsv
breast_normal_42	TCGA-BRCA.784df7f1-e71f-4daa-bfda-0b1b1a69e0b6.gene_level_copy_number.tsv
breast_normal_43	TCGA-BRCA.78ff5370-519b-4bb9-ae5a-67f862038ff8.gene_level_copy_number.tsv
breast_normal_44	TCGA-BRCA.898c61fd-25f3-480d-864b-0902639e7ca8.gene_level_copy_number.tsv
breast_normal_45	TCGA-BRCA.8bab6eb6-da3c-49d9-b786-d078f8ebda09.gene_level_copy_number.tsv
breast_normal_46	TCGA-BRCA.ebef629e-e465-4ef3-84db-81ff8522b7f9.gene_level_copy_number.tsv
breast_normal_47	TCGA-BRCA.40ef83f0-cb32-4191-a440-3fcc76d1148f.gene_level_copy_number.tsv
breast_normal_48	TCGA-BRCA.d47439d3-9c7a-4dea-838d-e9955842055b.gene_level_copy_number.tsv
breast_normal_49	TCGA-BRCA.ff6c8bdf-a663-45fe-b48f-dcca255eb1d1.gene_level_copy_number.tsv
breast_normal_50	TCGA-BRCA.f8597ba1-42d8-4506-a306-3e443b82018d.gene_level_copy_number.tsv
breast_normal_51	TCGA-BRCA.cf180187-bd5a-468e-8560-da1e48441b52.gene_level_copy_number.tsv
breast_normal_52	TCGA-BRCA.6ca5a3d2-bc1c-4d8b-932b-0d156d1dbaa3.gene_level_copy_number.tsv
breast_normal_53	TCGA-BRCA.92864651-156a-44ab-a442-f17567476e0f.gene_level_copy_number.tsv
breast_normal_54	TCGA-BRCA.5b44486e-95e0-4505-9c39-bbd1515f155b.gene_level_copy_number.tsv
breast_normal_55	TCGA-BRCA.12aa84c3-f49b-408a-a863-97f2254e442e.gene_level_copy_number.tsv
breast_normal_56	TCGA-BRCA.e8763755-1460-48c9-b60a-5a5b9ed61da5.gene_level_copy_number.tsv
breast_normal_57	TCGA-BRCA.49f9eae1-6d7c-45a8-bcf1-b321f980a581.gene_level_copy_number.tsv
breast_normal_58	TCGA-BRCA.72f2a477-f43f-4ffe-a233-e09a3b66da3b.gene_level_copy_number.tsv
breast_normal_59	TCGA-BRCA.715f5846-1e11-4c15-ac61-927baf0b92d4.gene_level_copy_number.tsv
breast_normal_60	TCGA-BRCA.b690db1d-6560-4c02-a3b9-3abc43d39c03.gene_level_copy_number.tsv
